decile_rank,model,count,approved,approval_rate,lift
1,Champion (Logistic Regression),16542,15025,0.9082940394148229,1.228943573524196
2,Champion (Logistic Regression),16542,14921,0.9020070124531495,1.2204370755776726
3,Champion (Logistic Regression),16542,14313,0.8652520856002902,1.1707067798903041
4,Champion (Logistic Regression),16541,13895,0.8400338552687262,1.1365859107039389
5,Champion (Logistic Regression),16542,13531,0.8179784790230927,1.1067444587924058
6,Champion (Logistic Regression),16542,12942,0.7823721436343852,1.0585682348452676
7,Champion (Logistic Regression),16541,12080,0.7303065110936461,0.988122187931168
8,Champion (Logistic Regression),16540,11218,0.6782345828295042,0.917667622752629
9,Champion (Logistic Regression),16544,9290,0.5615328820116054,0.7597674285248879
10,Champion (Logistic Regression),16542,5043,0.30486035545883206,0.41248335715690654
1,Challenger (XGBoost),16516,15592,0.9440542504238314,1.2773279948683058
2,Challenger (XGBoost),16560,15404,0.9301932367149759,1.2585737115846642
3,Challenger (XGBoost),16548,14969,0.9045806139714769,1.2239192200259597
4,Challenger (XGBoost),16539,14750,0.8918314287441804,1.2066692672872519
5,Challenger (XGBoost),16545,14334,0.8663644605621034,1.1722118498361007
6,Challenger (XGBoost),16543,13480,0.8148461584960406,1.1025063541534954
7,Challenger (XGBoost),16541,12294,0.7432440602140137,1.005627001525313
8,Challenger (XGBoost),16541,10710,0.6474820143884892,0.8760586616508949
9,Challenger (XGBoost),16543,8268,0.4997884301517258,0.676225707428865
10,Challenger (XGBoost),16542,2457,0.1485310119695321,0.20096601398661898
